iter	Passed	Remaining
653	2239	1184
654	2242	1181
655	2245	1177
656	2249	1174
657	2252	1170
658	2255	1167
659	2259	1163
660	2262	1160
661	2265	1156
662	2269	1153
663	2272	1149
664	2275	1146
665	2280	1143
666	2283	1139
667	2286	1136
668	2289	1133
669	2293	1129
670	2299	1127
671	2303	1124
672	2308	1121
673	2311	1118
674	2317	1115
675	2320	1112
676	2324	1108
677	2327	1105
678	2330	1101
679	2333	1098
680	2336	1094
681	2339	1090
682	2342	1087
683	2346	1083
684	2349	1080
685	2352	1076
686	2355	1073
687	2359	1069
688	2362	1066
689	2365	1062
690	2368	1059
691	2371	1055
692	2375	1052
693	2378	1048
694	2382	1045
695	2386	1042
696	2389	1038
697	2392	1035
698	2395	1031
699	2398	1028
700	2401	1024
701	2405	1020
702	2408	1017
703	2412	1014
704	2415	1010
705	2418	1007
706	2421	1003
707	2425	1000
708	2428	996
709	2431	993
710	2435	989
711	2438	986
712	2442	982
713	2445	979
714	2448	976
715	2452	972
716	2455	969
717	2458	965
718	2462	962
719	2465	958
720	2468	955
721	2471	951
722	2477	949
723	2482	946
724	2486	942
725	2490	939
726	2493	936
727	2497	932
728	2500	929
729	2506	926
730	2509	923
731	2513	920
732	2516	916
733	2520	913
734	2523	909
735	2526	906
736	2529	902
737	2532	899
738	2536	895
739	2539	892
740	2542	888
741	2545	885
742	2549	881
743	2552	878
744	2556	874
745	2559	871
746	2562	867
747	2565	864
748	2568	860
749	2571	857
750	2574	853
751	2578	850
752	2581	846
753	2584	843
754	2587	839
755	2590	836
756	2593	832
757	2596	829
758	2600	825
759	2603	822
760	2606	818
761	2610	815
762	2613	811
763	2616	808
764	2619	804
765	2622	801
766	2625	797
767	2629	794
768	2632	790
769	2635	787
770	2638	783
771	2642	780
772	2645	776
773	2649	773
774	2652	770
775	2656	766
776	2659	763
777	2662	759
778	2665	756
779	2669	752
780	2672	749
781	2675	745
782	2678	742
783	2681	738
784	2685	735
785	2688	731
786	2691	728
787	2694	724
788	2698	721
789	2701	718
790	2705	714
791	2709	711
792	2712	708
793	2716	704
794	2719	701
795	2722	697
796	2725	694
797	2728	690
798	2732	687
799	2735	683
800	2739	680
801	2742	677
802	2745	673
803	2749	670
804	2752	666
805	2755	663
806	2759	659
807	2763	656
808	2766	653
809	2770	649
810	2774	646
811	2777	643
812	2782	639
813	2785	636
814	2788	632
815	2791	629
816	2794	626
817	2801	623
818	2806	620
819	2809	616
820	2813	613
821	2816	609
822	2821	606
823	2824	603
824	2828	599
825	2831	596
826	2834	593
827	2837	589
828	2840	586
829	2844	582
830	2847	579
831	2850	575
832	2853	572
833	2856	568
834	2859	565
835	2862	561
836	2866	558
837	2869	554
838	2872	551
839	2875	547
840	2879	544
841	2882	540
842	2886	537
843	2889	534
844	2892	530
845	2895	527
846	2898	523
847	2901	520
848	2904	516
849	2909	513
850	2913	510
851	2916	506
852	2919	503
853	2922	499
854	2926	496
855	2929	492
856	2932	489
857	2935	485
858	2939	482
859	2942	479
860	2945	475
861	2948	472
862	2951	468
863	2955	465
864	2958	461
865	2961	458
866	2964	454
867	2968	451
868	2971	447
869	2974	444
870	2977	441
871	2980	437
872	2983	434
873	2987	430
874	2990	427
875	2993	423
876	2996	420
877	3000	416
878	3003	413
879	3007	410
880	3010	406
881	3014	403
882	3017	399
883	3020	396
884	3023	392
885	3026	389
886	3029	386
887	3033	382
888	3037	379
889	3040	375
890	3043	372
891	3046	368
892	3049	365
893	3052	361
894	3055	358
895	3058	355
896	3062	351
897	3065	348
898	3068	344
899	3071	341
900	3075	337
901	3078	334
902	3080	330
903	3084	327
904	3089	324
905	3094	321
906	3098	317
907	3101	314
908	3105	310
909	3108	307
910	3111	303
911	3114	300
912	3117	297
913	3121	293
914	3125	290
915	3129	287
916	3133	283
917	3136	280
918	3139	276
919	3143	273
920	3146	269
921	3149	266
922	3152	263
923	3169	260
924	3174	257
925	3178	254
926	3183	250
927	3187	247
928	3190	243
929	3193	240
930	3196	236
931	3200	233
932	3203	230
933	3206	226
934	3209	223
935	3212	219
936	3215	216
937	3218	212
938	3222	209
939	3225	205
940	3228	202
941	3231	198
942	3235	195
943	3238	192
944	3241	188
945	3245	185
946	3248	181
947	3252	178
948	3255	174
949	3258	171
950	3261	168
